KL1L1,5.770,0.05635,3.14678,1
KL1L2,3.480,0.06205,3.22185,2
KL1L3,3.480,0.11776,3.22569,3
KL1M1,4.370,0.01428,3.52773,4
KL1M2,4.470,0.00723,3.54688,5
KL1M3,4.470,0.01370,3.54729,6
KL1N1,3.270,0.00163,3.57544,9
KL2L2,1.190,0.01122,3.29692,2
KL2L3,1.190,0.27684,3.30076,3
KL2M1,2.080,0.00683,3.60280,4
KL2M2,2.180,0.00249,3.62195,5
KL2M3,2.180,0.02843,3.62236,6
KL2N1,0.980,0.00076,3.65051,9
KL3L3,1.190,0.15642,3.30460,3
KL3M1,2.080,0.01299,3.60664,4
KL3M2,2.180,0.02838,3.62579,5
KL3M3,2.180,0.03254,3.62620,6
KL3N1,0.980,0.00145,3.65435,9
KM1M1,2.970,0.00087,3.90868,4
KM1M2,3.070,0.00078,3.92783,5
KM1M3,3.070,0.00148,3.92824,6
KM1N1,1.870,0.00020,3.95639,9
KM2M2,3.170,0.00014,3.94698,5
KM2M3,3.170,0.00293,3.94739,6
KM2N1,1.970,0.00009,3.97554,9
KM3M3,3.170,0.00169,3.94780,6
KM3N1,1.970,0.00017,3.97595,9
